id,regime,step,timestamp,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
leo-447,leo,7,2026-02-05T02:57:47.39376056640625Z,-444.72828125,7342.782,1089.269625,-4.803175735433538,0.5608539109973062,-5.537814511821427
leo-447,leo,8,2026-02-05T02:59:29.4345930859375Z,-932.6080625,7362.9665,518.66521875,-4.7352292454348115,-0.16573512369926174,-5.617804931940135
leo-447,leo,9,2026-02-05T03:01:11.47542560546875Z,-1411.10175,7308.9585,-57.221359375,-4.619760113218452,-0.8895414403639442,-5.641140031009289
leo-447,leo,10,2026-02-05T03:02:53.51619708984375Z,-1875.416125,7181.4275,-632.5876875,-4.458127255958132,-1.6030619637400378,-5.607718294746053
leo-447,leo,11,2026-02-05T03:04:35.557029609375Z,-2320.9235,6981.803,-1201.6535,-4.252181941362325,-2.298945777667788,-5.518047233209212
leo-447,leo,12,2026-02-05T03:06:17.59780109375Z,-2743.20825,6712.255,-1758.719625,-4.004241550044529,-2.970092485665624,-5.3732388002080045
leo-447,leo,13,2026-02-05T03:07:59.6386946484375Z,-3138.11575,6375.6615,-2298.233,-3.7170473520527083,-3.609714649335623,-5.174998682014666
leo-447,leo,14,2026-02-05T03:09:41.6794661328125Z,-3501.7895,5975.5785,-2814.842,-3.3937298651418204,-4.211424034030729,-4.925608007434335
leo-447,leo,15,2026-02-05T03:11:23.7203596875Z,-3830.71375,5516.187,-3303.45925,-3.0377836958131668,-4.769331262913561,-4.627914323548283
leo-447,leo,16,2026-02-05T03:13:05.761131171875Z,-4121.7455,5002.2455,-3759.3145,-2.653009390873267,-5.278105919480138,-4.28529320818549
leo-447,leo,17,2026-02-05T03:14:47.80190265625Z,-4372.144,4439.023,-4178.0085,-2.24347959571048,-5.73304293485533,-3.901575622058248
leo-447,leo,18,2026-02-05T03:16:29.8427962109375Z,-4579.5985,3832.2365,-4555.5545,-1.8134722995362245,-6.13008054682034,-3.4809616356304685
leo-447,leo,19,2026-02-05T03:18:11.8835676953125Z,-4742.2405,3187.986,-4888.409,-1.3673946009058309,-6.465816216423142,-3.0279391806373352
leo-447,leo,20,2026-02-05T03:19:53.9243391796875Z,-4858.6585,2512.68275,-5173.501,-0.9097537321441087,-6.737491437841427,-2.5472036409043866
leo-447,leo,21,2026-02-05T03:21:35.965232734375Z,-4927.9045,1812.9875,-5408.2465,-0.44508380000401304,-6.942981726057523,-2.0435860183522854
leo-447,leo,22,2026-02-05T03:23:18.00600421875Z,-4949.492,1095.7475,-5590.5595,0.022084309705016493,-7.08080323668111,-1.5220778688818755
leo-447,leo,23,2026-02-05T03:25:00.046775703125Z,-4923.3975,367.92625,-5718.8745,0.4872880641402626,-7.150114992140377,-0.9877791840826503
leo-447,leo,24,2026-02-05T03:26:42.0875471875Z,-4850.0455,-363.459,-5792.147,0.9461519900795502,-7.150716528424624,-0.4458464138863383
leo-447,leo,25,2026-02-05T03:28:24.1285628125Z,-4730.305,-1091.40475,-5809.8635,1.3944341233522646,-7.083032717711554,0.09854692659925422
leo-447,leo,26,2026-02-05T03:30:06.169334296875Z,-4565.467,-1808.977,-5772.0355,1.828046253340639,-6.948094028361632,0.6402612313647987
leo-447,leo,27,2026-02-05T03:31:48.21010578125Z,-4357.2345,-2509.3825,-5679.198,2.243067860723182,-6.747514890216506,1.1742487660272891
leo-447,leo,28,2026-02-05T03:33:30.250877265625Z,-4107.69825,-3186.02025,-5532.393,2.6358116083156493,-6.483457449175638,1.695623695147129
leo-447,leo,29,2026-02-05T03:35:12.29164875Z,-3819.314,-3832.5365,-5333.1525,3.002782229819997,-6.158601188060223,2.199678793946947
leo-447,leo,30,2026-02-05T03:36:54.332664375Z,-3494.885,-4442.8785,-5083.4785,3.340730882615899,-5.776144537460845,2.68191553276054
leo-447,leo,31,2026-02-05T03:38:36.373435859375Z,-3137.53175,-5011.3425,-4785.8225,3.6466881775485183,-5.339752846571074,3.1380495790256937
leo-447,leo,32,2026-02-05T03:40:18.41420734375Z,-2750.66325,-5532.6235,-4443.0605,3.9179486217547654,-4.853550132907774,3.564064341239213
leo-447,leo,33,2026-02-05T03:42:00.454978828125Z,-2337.95075,-6001.8625,-4058.46275,4.152111762158489,-4.322093449357471,3.95618333855713
leo-447,leo,34,2026-02-05T03:43:42.4957503125Z,-1903.293875,-6414.683,-3635.6765,4.347107960350177,-3.7503170980885696,4.310904294440364
leo-447,leo,35,2026-02-05T03:45:24.536521796875Z,-1450.78625,-6767.233,-3178.68675,4.501198296433739,-3.1434880161926557,4.62504857397133
leo-447,leo,36,2026-02-05T03:47:06.577537421875Z,-984.68125,-7056.2115,-2691.78825,4.612995807430325,-2.507163175331094,4.8957593167835345
leo-447,leo,37,2026-02-05T03:48:48.61830890625Z,-509.35784375,-7278.8995,-2179.5515,4.681481322330659,-1.8471611617407397,5.120543287738749
leo-447,leo,38,2026-02-05T03:50:30.659080390625Z,-29.277318359375,-7433.183,-1646.779875,4.706006780569386,-1.1694663639256468,5.297283915407972
leo-447,leo,39,2026-02-05T03:52:12.699851875Z,451.05128125,-7517.566,-1098.473625,4.686303594371696,-0.48024186104378896,5.4242662462107525
leo-447,leo,40,2026-02-05T03:53:54.740623359375Z,927.11075,-7531.1915,-539.78725,4.622481190738805,0.21425994415720198,5.500191128794929
leo-447,leo,41,2026-02-05T03:55:36.78139484375Z,1394.414375,-7473.8395,24.0138671875,4.515028237303799,0.9077259359423552,5.5241957966204405
leo-447,leo,42,2026-02-05T03:57:18.82241046875Z,1848.54575,-7345.941,587.6005,4.364804520663239,1.5937934792159576,5.495868660469145
leo-447,leo,43,2026-02-05T03:59:00.8629378125Z,2285.1905,-7148.576,1145.61925,4.1730383415243155,2.2661465073616127,5.415261522483508
leo-447,leo,44,2026-02-05T04:00:42.9039534375Z,2700.18575,-6883.462,1692.755375,3.9413146521198215,2.9185469997128894,5.282898956837976
leo-447,leo,45,2026-02-05T04:02:24.9449690625Z,3089.542,-6552.953,2223.764,3.6715770489143504,3.5448418713762146,5.099772905470601
leo-447,leo,46,2026-02-05T04:04:06.98549640625Z,3449.487,-6160.0255,2733.525,3.3661197263446865,4.1390720890212975,4.867352828001916
leo-447,leo,47,2026-02-05T04:05:49.02651203125Z,3776.50475,-5708.2445,3217.10075,3.0275757325884407,4.695504296155854,4.5875674912360305
leo-447,leo,48,2026-02-05T04:07:31.067039375Z,4067.3595,-5201.76,3669.763,2.6589123596942335,5.208644766193836,4.262798127590984
leo-447,leo,49,2026-02-05T04:09:13.108055Z,4319.1395,-4645.256,4087.059,2.275966001871464,5.698812330179033,3.9161874978277194
leo-5554,leo,0,2026-01-17T09:26:36.542761Z,3011.88225,5056.2035,-5323.881,-4.522177496098233,-2.416172827879287,-4.902060405120297
leo-5554,leo,1,2026-01-17T09:28:18.5835782607421875Z,2539.9095,4789.811,-5800.0645,-4.728488319209396,-2.805120124318357,-4.431136109431736
leo-5554,leo,2,2026-01-17T09:30:00.624395521484375Z,2046.884625,4483.73,-6228.1945,-4.914688084884542,-3.181368110920281,-3.943199270970228
leo-5554,leo,3,2026-01-17T09:31:42.6651975234375Z,1536.912,4140.55225,-6604.799,-5.060033322541537,-3.530775767540286,-3.423350748622408
leo-5554,leo,4,2026-01-17T09:33:24.70603004296875Z,1014.22475,3763.1635,-6926.8375,-5.163430702518192,-3.850549860248222,-2.875900539907314
